Champion: Australia - Points: 24 +/-: 22, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: Champion: Champion: Champion: Champion: Champion: Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: VietNam - Points: 0 +/-: 0, Wins: 0, Losses: 0, Draws: 0
Champion: Australia - Points: 24 +/-: 14, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia - Points: 24 +/-: 11, Wins: 8, Losses: 0, Draws: 0
Champion: Malaisia - Points: 17 +/-: 6, Wins: 5, Losses: 1, Draws: 2
Champion: VietNam - Points: 24 +/-: 13, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: Indonesia - Points: 18 +/-: 8, Wins: 5, Losses: 0, Draws: 3
Champion: Malaisia  - Points: 17 +/-: 7, Wins: 5, Losses: 1, Draws: 2
Champion: Australia - Points: 24 +/-: 13, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia  - Points: 19 +/-: 8, Wins: 6, Losses: 1, Draws: 1
Champion: Malaisia  - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 17 +/-: 8, Wins: 5, Losses: 1, Draws: 2
Champion: VietNam   - Points: 18 +/-: 6, Wins: 5, Losses: 0, Draws: 3
Champion: Australia - Points: 21 +/-: 14, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 17 +/-: 8, Wins: 5, Losses: 1, Draws: 2
Champion: Indonesia - Points: 19 +/-: 12, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 19 +/-: 8, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 19 +/-: 6, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 18 +/-: 8, Wins: 5, Losses: 0, Draws: 3
Champion: Indonesia - Points: 22 +/-: 9, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 20 +/-: 9, Wins: 6, Losses: 0, Draws: 2
Champion: Malaisia  - Points: 21 +/-: 8, Wins: 7, Losses: 1, Draws: 0
Champion: Malaisia  - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: Myanmar   - Points: 19 +/-: 7, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 21 +/-: 12, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 21 +/-: 8, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam   - Points: 24 +/-: 12, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam   - Points: 18 +/-: 8, Wins: 6, Losses: 2, Draws: 0
Champion: Indonesia - Points: 17 +/-: 5, Wins: 5, Losses: 1, Draws: 2
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: Australia - Points: 22 +/-: 18, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 24 +/-: 16, Wins: 8, Losses: 0, Draws: 0
Champion: Australia - Points: 24 +/-: 12, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 10, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia  - Points: 20 +/-: 7, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 24 +/-: 10, Wins: 8, Losses: 0, Draws: 0
Champion: Malaisia  - Points: 19 +/-: 8, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 24 +/-: 14, Wins: 8, Losses: 0, Draws: 0
Champion: Myanmar   - Points: 18 +/-: 7, Wins: 5, Losses: 0, Draws: 3
Champion: Australia - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: VietNam   - Points: 8 +/-: 0, Wins: 0, Losses: 0, Draws: 8
Champion: Australia - Points: 20 +/-: 8, Wins: 6, Losses: 0, Draws: 2
Champion: Malaisia  - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 17 +/-: 10, Wins: 5, Losses: 1, Draws: 2
Champion: VietNam   - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: Indonesia - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 20 +/-: 13, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 18 +/-: 13, Wins: 5, Losses: 0, Draws: 3
Champion: ThaiLand  - Points: 21 +/-: 13, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam   - Points: 20 +/-: 7, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 24 +/-: 15, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam   - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 21 +/-: 9, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam   - Points: 22 +/-: 17, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 24 +/-: 15, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam   - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: Indonesia - Points: 16 +/-: 7, Wins: 5, Losses: 2, Draws: 1
Champion: VietNam   - Points: 18 +/-: 11, Wins: 5, Losses: 0, Draws: 3
Champion: Australia - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia  - Points: 21 +/-: 11, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam   - Points: 22 +/-: 19, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 18 +/-: 9, Wins: 5, Losses: 0, Draws: 3
Champion: Indonesia - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 21 +/-: 11, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 22 +/-: 20, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 22 +/-: 9, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 18 +/-: 11, Wins: 5, Losses: 0, Draws: 3
Champion: VietNam   - Points: 18 +/-: 10, Wins: 5, Losses: 0, Draws: 3
Champion: Australia - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 24 +/-: 14, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 18 +/-: 10, Wins: 6, Losses: 2, Draws: 0
Champion: VietNam   - Points: 17 +/-: 7, Wins: 5, Losses: 1, Draws: 2
Champion: VietNam   - Points: 24 +/-: 21, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam   - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 20 +/-: 16, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 24 +/-: 18, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 21 +/-: 9, Wins: 7, Losses: 1, Draws: 0
Champion: VietNam   - Points: 20 +/-: 15, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 22 +/-: 11, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 16, Wins: 7, Losses: 0, Draws: 1
Champion: VietNam   - Points: 24 +/-: 13, Wins: 8, Losses: 0, Draws: 0
Champion: VietNam   - Points: 20 +/-: 8, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 19 +/-: 11, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 22 +/-: 9, Wins: 7, Losses: 0, Draws: 1
Champion: Indonesia - Points: 19 +/-: 8, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 17 +/-: 6, Wins: 5, Losses: 1, Draws: 2
Champion: Malaisia  - Points: 20 +/-: 9, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 21 +/-: 13, Wins: 7, Losses: 1, Draws: 0
Champion: Indonesia - Points: 18 +/-: 11, Wins: 5, Losses: 0, Draws: 3
Champion: VietNam   - Points: 21 +/-: 9, Wins: 7, Losses: 1, Draws: 0
Champion: ThaiLand  - Points: 19 +/-: 13, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 18 +/-: 6, Wins: 6, Losses: 2, Draws: 0
Champion: ThaiLand  - Points: 19 +/-: 7, Wins: 6, Losses: 1, Draws: 1
Champion: Indonesia - Points: 20 +/-: 9, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: VietNam   - Points: 18 +/-: 9, Wins: 5, Losses: 0, Draws: 3
Champion: VietNam   - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 21 +/-: 12, Wins: 7, Losses: 1, Draws: 0
Champion: ThaiLand  - Points: 21 +/-: 14, Wins: 7, Losses: 1, Draws: 0
Champion: ThaiLand  - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 16 +/-: 7, Wins: 4, Losses: 0, Draws: 4
Champion: Australia - Points: 22 +/-: 17, Wins: 7, Losses: 0, Draws: 1
Champion: ThaiLand  - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 16, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 21 +/-: 15, Wins: 7, Losses: 1, Draws: 0
Champion: ThaiLand  - Points: 20 +/-: 7, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 22 +/-: 14, Wins: 7, Losses: 0, Draws: 1
Champion: Singapore - Points: 16 +/-: 8, Wins: 4, Losses: 0, Draws: 4
Champion: Australia - Points: 20 +/-: 18, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: ThaiLand  - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 24 +/-: 14, Wins: 8, Losses: 0, Draws: 0
Champion: Australia - Points: 19 +/-: 7, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 24 +/-: 21, Wins: 8, Losses: 0, Draws: 0
Champion: Australia - Points: 19 +/-: 16, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 16, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 24 +/-: 21, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 20 +/-: 12, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: Indonesia - Points: 24 +/-: 16, Wins: 8, Losses: 0, Draws: 0
Champion: Australia - Points: 20 +/-: 13, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: Singapore - Points: 18 +/-: 5, Wins: 6, Losses: 2, Draws: 0
Champion: Australia - Points: 24 +/-: 16, Wins: 8, Losses: 0, Draws: 0
Champion: Indonesia - Points: 21 +/-: 12, Wins: 7, Losses: 1, Draws: 0
Champion: Indonesia - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 22 +/-: 13, Wins: 7, Losses: 0, Draws: 1
Champion: ThaiLand  - Points: 20 +/-: 13, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 22 +/-: 10, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 19 +/-: 14, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 19 +/-: 13, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 18 +/-: 8, Wins: 5, Losses: 0, Draws: 3
Champion: ThaiLand  - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 21 +/-: 15, Wins: 7, Losses: 1, Draws: 0
Champion: Australia - Points: 19 +/-: 9, Wins: 6, Losses: 1, Draws: 1
Champion: VietNam   - Points: 18 +/-: 8, Wins: 5, Losses: 0, Draws: 3
Champion: ThaiLand  - Points: 22 +/-: 15, Wins: 7, Losses: 0, Draws: 1
Champion: Indonesia - Points: 20 +/-: 16, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 20 +/-: 13, Wins: 6, Losses: 0, Draws: 2
Champion: Malaisia  - Points: 20 +/-: 13, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 18 +/-: 10, Wins: 5, Losses: 0, Draws: 3
Champion: Indonesia - Points: 24 +/-: 15, Wins: 8, Losses: 0, Draws: 0
Champion: ThaiLand  - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: ThaiLand  - Points: 20 +/-: 10, Wins: 6, Losses: 0, Draws: 2
Champion: Indonesia - Points: 19 +/-: 14, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: Indonesia - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: ThaiLand  - Points: 22 +/-: 10, Wins: 7, Losses: 0, Draws: 1
Champion: Australia - Points: 20 +/-: 14, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 20 +/-: 11, Wins: 6, Losses: 0, Draws: 2
Champion: Australia - Points: 19 +/-: 10, Wins: 6, Losses: 1, Draws: 1
Champion: Australia - Points: 21 +/-: 7, Wins: 7, Losses: 1, Draws: 0
Champion: ThaiLand  - Points: 19 +/-: 7, Wins: 6, Losses: 1, Draws: 1
Champion: Indonesia - Points: 20 +/-: 9, Wins: 6, Losses: 0, Draws: 2
Champion: ThaiLand  - Points: 22 +/-: 12, Wins: 7, Losses: 0, Draws: 1
Champion: Malaisia  - Points: 19 +/-: 5, Wins: 6, Losses: 1, Draws: 1
Champion: Malaisia  - Points: 16 +/-: 5, Wins: 5, Losses: 2, Draws: 1
